"peca_id" "nome"
"1" "Saia"
"2" "Acessório de cabelo"
"12" "Outros acessórios"
"13" "Bengalas, bastões e cajados"
"21" "Blouse"
"41" "Boleiro"
"412" "Bolsas e mochilas"
"122" "Bonnet"
"134" "Coletes"
"11" "Calça"
"16" "Casacos, sobretudos e coats"
"61" "Items não-vestuário"
"157" "Handcuffs e luvas"
"71" "Headdress"
"18" "Jumperskirt (JSK)"
"19" "Kit de items"
"751" "Coord. inteiro"
"146" "Laço avulso"
"891" "Meia"
"164" "Chapéus, boinas e etc."
"1344" "Parasol e guarda-chuvas"
"31" "Peruca"
"187" "Polainas (perna ou braço)"
"165" "Sapato"
"133" "Shorts"
"145" "Vestido / One Piece (OP)"
"132" "Vest"
"143" "Anágua"
"154" "Bloomer"
"1544" "Salopettes e jardineiras"
