"Pasteis" "Cores pásteis"
"Costumizado" "Peça que foi originalmente uma encomenda de um atêlier ou costureira"
"Monocromático" "Apenas uma cor na peça"
"Duplicata" "Peça duplicata de uma brand estrangeira, mas não original. Atenção: não comercializar duplicatas de atêlies nacionais."
"Original" "Peça original de uma brand estrangeira, garantindo que não é duplicata. Atenção: mentir sobre isso levará a banimento."
"Com padrões" "Tecidos impressos com padrões ou ilustrações."
"Floral" "Flores"
"Animais" "Animais"
"Cruz" "Cruzes."
"Coração" "Corações."
"Música" "Notas musicais, escalas e instrumentos."
"Laços" "Laços, podendo ser nos padrões ou laços que acompanhem a peça."
"Bolinhas" "Padrão de bolinhas"
"Listras" "Listrado"
"Plano/sem padrões" "Não possui padrões"
"Doces" "Doces, bolos, confeitos, etc."
"Alice" "Baseado no livro de Alice no País das Maravilhas."
"Versátil" "Peça que facilmente vai bem com outras peças. Costumam ser em branco, off-white ou preto, geralmente blouses, sapatos e meias."
